iter	Passed	Remaining
400	11508	12570
401	11533	12538
402	11540	12485
403	11547	12433
404	11644	12478
405	11651	12426
406	11753	12475
407	11756	12418
408	11759	12363
409	11764	12309
410	11791	12279
411	11799	12228
412	11823	12196
413	11827	12142
414	11840	12097
415	11845	12044
416	11945	12089
417	12044	12131
418	12094	12123
419	12192	12163
420	12195	12108
421	12295	12149
422	12299	12095
423	12303	12042
424	12399	12078
425	12402	12024
426	12404	11969
427	12455	11960
428	12479	11927
429	12493	11883
430	12497	11830
431	12500	11777
432	12504	11724
433	12511	11675
434	12538	11644
435	12544	11595
436	12644	11632
437	12743	11666
438	12793	11656
439	12796	11604
440	12798	11550
441	12801	11498
442	12815	11455
443	12818	11404
444	12820	11351
445	12824	11300
446	12826	11248
447	12833	11200
448	12840	11153
449	12940	11186
450	12942	11134
451	12949	11087
452	12953	11037
453	12961	10991
454	12964	10941
455	12967	10891
456	12972	10843
457	12997	10812
458	13025	10783
459	13029	10734
460	13043	10694
461	13142	10724
462	13169	10694
463	13176	10648
464	13275	10677
465	13283	10632
466	13296	10591
467	13322	10561
468	13329	10515
469	13332	10467
470	13346	10427
471	13352	10382
472	13451	10408
473	13459	10364
474	13560	10391
475	13611	10379
476	13708	10403
477	13804	10425
478	13806	10376
479	13810	10329
480	13823	10288
481	13837	10249
482	13844	10204
483	13858	10165
484	13957	10187
485	13962	10141
486	14055	10158
487	14057	10110
488	14156	10132
489	14255	10153
490	14269	10113
491	14294	10081
492	14387	10097
493	14389	10049
494	14488	10068
495	14489	10020
496	14491	9971
497	14504	9931
498	14508	9885
499	14512	9839
500	14614	9859
501	14715	9878
502	14767	9864
503	14781	9824
504	14788	9781
505	14839	9765
506	14865	9734
507	14880	9695
508	14894	9656
509	14895	9609
510	14909	9570
511	14913	9524
512	14939	9494
513	14943	9448
514	14957	9409
515	14970	9371
516	14984	9332
517	15084	9347
518	15183	9361
519	15184	9315
520	15284	9329
521	15288	9284
522	15292	9239
523	15299	9197
524	15306	9154
525	15313	9112
526	15410	9123
527	15437	9093
528	15451	9054
529	15478	9024
530	15481	8980
531	15577	8989
532	15585	8947
533	15589	8904
534	15690	8915
535	15782	8922
536	15818	8895
537	15831	8857
538	15930	8866
539	16035	8878
540	16037	8834
541	16136	8842
542	16233	8849
543	16283	8830
544	16290	8788
545	16294	8744
546	16320	8712
547	16327	8670
548	16431	8679
549	16435	8636
550	16437	8591
551	16463	8559
552	16466	8516
553	16565	8521
554	16573	8480
555	16682	8491
556	16689	8449
557	16700	8409
558	16813	8421
559	16839	8389
560	16842	8346
561	16944	8351
562	16951	8310
563	16955	8267
564	17007	8247
565	17013	8206
566	17018	8164
567	17117	8167
568	17221	8171
569	17228	8130
570	17323	8130
571	17337	8092
572	17435	8093
573	17437	8050
574	17538	8052
575	17542	8009
576	17639	8009
577	17647	7968
578	17650	7925
579	17651	7882
580	17655	7839
581	17659	7797
582	17662	7755
583	17761	7755
584	17763	7712
585	17863	7712
586	17879	7675
587	17886	7635
588	17938	7614
589	17940	7571
590	18053	7575
591	18061	7535
592	18065	7494
593	18092	7462
594	18194	7461
595	18295	7459
596	18347	7437
597	18351	7395
598	18451	7392
599	18549	7388
600	18563	7351
601	18576	7313
602	18678	7310
603	18680	7268
604	18782	7264
605	18790	7224
606	18888	7219
607	18991	7215
608	19006	7177
609	19032	7144
610	19134	7140
611	19136	7098
612	19239	7093
613	19244	7051
614	19252	7012
615	19259	6972
616	19261	6930
617	19265	6889
618	19292	6856
619	19396	6851
620	19423	6818
621	19450	6785
622	19457	6746
623	19462	6705
624	19475	6668
625	19479	6627
626	19485	6588
627	19491	6548
628	19504	6511
629	19599	6502
630	19603	6462
631	19606	6421
632	19631	6388
633	19734	6381
634	19835	6372
635	19860	6339
636	19864	6299
637	19869	6259
638	19973	6251
639	19981	6212
640	19984	6173
641	20086	6163
642	20093	6125
643	20101	6086
644	20108	6048
645	20204	6036
646	20230	6003
647	20332	5992
648	20428	5980
649	20526	5968
650	20541	5932
651	20548	5893
652	20651	5882
653	20700	5855
654	20713	5818
655	20717	5779
656	20744	5746
657	20842	5733
658	20846	5694
659	20861	5657
660	20962	5645
661	21013	5618
662	21021	5580
663	21121	5566
664	21125	5527
665	21221	5512
666	21226	5473
667	21233	5435
668	21247	5399
669	21345	5384
670	21395	5356
671	21403	5318
672	21410	5281
