iter	Logloss
0	0.6801749683
1	0.6678093457
2	0.6565085239
3	0.6454268909
4	0.6345800181
5	0.624659804
6	0.6132725575
7	0.6024640193
8	0.5915860661
9	0.5819359451
10	0.5720790175
11	0.5626365787
12	0.5541320551
13	0.5439961543
14	0.5347148082
15	0.5256308259
16	0.5182835
17	0.5102456515
18	0.5026008731
19	0.4938545227
20	0.4870341879
21	0.4791073408
22	0.4713805777
23	0.4640939744
24	0.4574773194
25	0.4508854913
26	0.4440697217
27	0.437629262
28	0.4306484598
29	0.4229940196
30	0.4157572887
31	0.4085567037
32	0.4033079929
33	0.3974681291
34	0.3912479213
35	0.3860115927
36	0.3794565044
37	0.3741208061
38	0.3683907556
39	0.3629380836
40	0.3579033398
41	0.352479966
42	0.3467112995
43	0.3422161478
44	0.3370960423
45	0.33236538
46	0.3283360903
47	0.3233105706
48	0.3193116735
49	0.3144529061
50	0.3108151858
51	0.3070752191
52	0.3033571712
53	0.2997326773
54	0.2962197163
55	0.2928522141
56	0.2887278072
57	0.2849193636
58	0.2816312196
59	0.2782303544
60	0.2743014351
61	0.2712191285
62	0.2681375097
63	0.2651508519
64	0.2615927399
65	0.2586088962
66	0.2547194059
67	0.2512934325
68	0.2482130488
69	0.2457176896
70	0.2424130205
71	0.2393614347
72	0.2368499568
73	0.2346432326
74	0.2316474133
75	0.228487562
76	0.2255340326
77	0.2225398392
78	0.2196644955
79	0.2177802539
80	0.2151798967
81	0.2127570793
82	0.2103108265
83	0.2082680092
84	0.2067202584
85	0.2043424356
86	0.2023242888
87	0.2000277472
88	0.1982646379
89	0.1965516513
90	0.1942743083
91	0.1925659649
92	0.1904598924
93	0.1887301773
94	0.1869883615
95	0.1852043339
96	0.183741679
97	0.1822010415
98	0.1798202171
99	0.1782155897
100	0.1769710291
101	0.175414914
102	0.17408421
103	0.1728996214
104	0.1714906536
105	0.1695146092
106	0.1677351623
107	0.1664358045
108	0.1651795184
109	0.163840888
110	0.1625451573
111	0.1610636164
112	0.1595987726
113	0.1578439181
114	0.1562353197
115	0.1548991594
116	0.1537784827
117	0.1525570135
118	0.1511492807
119	0.1499937558
120	0.148524941
121	0.1471897344
122	0.1463170911
123	0.1452521027
124	0.1441263918
125	0.1430010405
126	0.1419139299
127	0.1409140728
128	0.1396796117
129	0.138364573
130	0.1370421707
131	0.1357848214
132	0.1346265449
133	0.133478665
134	0.132090678
135	0.1312120156
136	0.1300307727
137	0.1290142732
138	0.1280454182
139	0.1271369809
140	0.1260687093
141	0.12517958
142	0.1242476291
143	0.1234085052
144	0.1224835427
145	0.1216594039
146	0.1206273095
147	0.1198486109
148	0.1188904653
149	0.1180817729
150	0.1173410259
151	0.1164899732
152	0.115797293
153	0.1151481847
154	0.1143465667
155	0.1135575889
156	0.1127432761
157	0.1119255629
158	0.1111272828
159	0.1103045823
160	0.1096538559
161	0.1087532903
162	0.1082071085
163	0.1075030468
164	0.1068181679
165	0.1061310924
166	0.1055151205
167	0.1048103395
168	0.1043064946
169	0.1036107032
170	0.1027061509
171	0.1019268583
172	0.101157634
173	0.100583522
174	0.1001353967
175	0.09929642912
176	0.09868087925
177	0.09796186353
178	0.09734308524
179	0.09677369477
180	0.09619389206
181	0.09557706802
182	0.0950239291
183	0.09441053672
184	0.09371466715
185	0.093387807
186	0.09268977994
187	0.09215311144
188	0.09147951251
189	0.09091536725
190	0.0904348092
191	0.09002501066
192	0.08957692443
193	0.08905977499
194	0.08855835336
195	0.08800438584
196	0.0874802949
197	0.08689546585
198	0.08650710934
199	0.08605980482
200	0.08559071431
201	0.08521117539
202	0.08455883089
203	0.08409433678
204	0.08357465463
205	0.0829620205
206	0.0824775305
207	0.08196225714
208	0.08174136428
209	0.08119125054
210	0.08064678067
211	0.08025294445
212	0.07990325865
213	0.07931823418
214	0.07898394006
215	0.0786380377
216	0.07820188804
217	0.07775771813
218	0.07739701818
219	0.07715854488
220	0.07693047602
221	0.07654641886
222	0.07619701448
223	0.07584650008
224	0.07545185089
225	0.07511825249
226	0.07480224234
227	0.0743753402
228	0.07398606128
229	0.07352005067
230	0.07305858174
231	0.07280740582
232	0.07247078223
233	0.07213107875
234	0.07160641717
235	0.07122001492
236	0.07100610264
237	0.07064972549
238	0.07043492989
239	0.07014099496
240	0.06982911219
241	0.06957681062
242	0.06934992212
243	0.06916524543
244	0.0689361369
245	0.06863927841
246	0.06828701301
247	0.06787431436
248	0.06757676797
249	0.06729346416
250	0.06704643906
251	0.06676359646
252	0.0664295134
253	0.06624314042
254	0.06593677646
255	0.06566308756
256	0.06540208566
257	0.06511920397
258	0.06483025238
259	0.06448854775
260	0.06419290871
261	0.06378545917
262	0.06350109225
263	0.0631879314
264	0.06298130067
265	0.06279430233
266	0.06256250475
267	0.06223953357
268	0.06192651342
269	0.06167882388
270	0.06130356476
271	0.06102710474
272	0.06083391924
273	0.0605582292
274	0.06036372263
275	0.06014726201
276	0.05993612477
277	0.05962285839
278	0.05942407202
279	0.05912957426
280	0.05895641202
281	0.05867791567
282	0.05845936009
283	0.05822015981
284	0.05792541191
285	0.05767005389
286	0.05744558475
287	0.05728453105
288	0.05704254401
289	0.05674547446
290	0.05653820663
291	0.05633203319
292	0.05613055776
293	0.05590039785
294	0.05575369225
295	0.05554562709
296	0.05532109933
297	0.05511915488
298	0.05494049729
299	0.05470558854
300	0.05446356633
301	0.05427546579
302	0.05408685325
303	0.05395593018
304	0.05374148635
305	0.05359444853
306	0.05334732181
307	0.05311660298
308	0.05287132107
309	0.05272830901
310	0.05258139626
311	0.05242314495
312	0.0521731064
313	0.05194347413
314	0.05172276888
315	0.05144225574
316	0.05124094447
317	0.05107182362
318	0.05086797964
319	0.05066891186
320	0.05046758495
321	0.05032314238
322	0.05016502787
323	0.05000315338
324	0.04980421848
325	0.04964552551
326	0.04949744021
327	0.04931137601
328	0.0490545992
329	0.04888331695
330	0.04873929649
331	0.0485540648
332	0.04840982156
333	0.04822349548
334	0.04807541409
335	0.04793536468
336	0.04783700724
337	0.04770220303
338	0.04754301368
339	0.04738450441
340	0.04720216501
341	0.04708327622
342	0.04693740704
343	0.04682909465
344	0.0466061381
345	0.04645870553
346	0.04630195117
347	0.04607800968
348	0.04595160484
349	0.04576249982
350	0.04554251765
351	0.04533961562
352	0.04514340104
353	0.04502726383
354	0.04490512707
355	0.04469199259
356	0.04453249838
357	0.0443502176
358	0.04418937886
359	0.04402745356
360	0.04387494384
361	0.04369441798
362	0.04355393081
363	0.0434325484
364	0.0432765562
365	0.0431274547
366	0.04301179823
367	0.04285631805
368	0.04275292647
369	0.04261687545
370	0.04242182951
371	0.04223473736
372	0.0421051041
373	0.04198568766
374	0.0418513642
375	0.04161885136
376	0.04149990785
377	0.04130671063
378	0.04117614715
379	0.04109195021
380	0.04096436501
381	0.04084117295
382	0.04068484854
383	0.04058032739
384	0.04044341259
385	0.04032763497
386	0.04023176725
387	0.04012045313
388	0.03999592046
389	0.03989748095
390	0.03975679835
391	0.03963364148
392	0.03948203071
393	0.03937649336
394	0.03923125345
395	0.03912991774
396	0.03902676066
397	0.0389165722
398	0.0387845313
399	0.03867937307
400	0.03852010164
401	0.03844473792
402	0.03833162589
403	0.03823380783
404	0.0381163261
405	0.03795397868
406	0.03781425757
407	0.03769246867
408	0.03757097682
409	0.03749550757
410	0.03741556308
411	0.03729600594
412	0.03716194434
413	0.03706884384
414	0.03695813945
415	0.03682311637
416	0.03676269875
417	0.0365831891
418	0.03648022745
419	0.03638459034
420	0.03628948087
421	0.0361583272
422	0.03604324528
423	0.03589811872
424	0.03581041586
425	0.0356844136
426	0.0355372038
427	0.03543768164
428	0.03532103241
429	0.03520981601
430	0.03508207055
431	0.03497997268
432	0.03489151939
433	0.03478917138
434	0.03472119863
435	0.03459833098
436	0.0344572849
437	0.03435881802
438	0.0342778925
439	0.03417445402
440	0.03406674745
441	0.0339606629
442	0.03387181485
443	0.0338007583
444	0.03373900007
445	0.03361562041
446	0.03352778857
447	0.03343954633
448	0.03336220882
449	0.03324566904
450	0.03314969188
451	0.03304494795
452	0.03295703794
453	0.03283248573
454	0.0327691387
455	0.03265998403
456	0.0325451249
457	0.03245400014
458	0.03238872622
459	0.03229333338
460	0.03220298837
461	0.03210367922
462	0.03202222214
463	0.03194357137
464	0.03185467251
465	0.03180672692
466	0.03169873699
467	0.03159240426
468	0.03152364395
469	0.03143468841
470	0.03135369645
471	0.03124320312
472	0.03116599849
473	0.03112969633
474	0.03101752234
475	0.0309110235
476	0.03083224766
477	0.03076272519
478	0.03066261088
479	0.03057080019
480	0.03047616169
481	0.03040545886
482	0.03027846579
483	0.03017526572
484	0.03010462151
485	0.03001700464
486	0.02989703319
487	0.02978575816
488	0.02970020693
489	0.0296180131
490	0.02949115878
491	0.02942177898
492	0.02934280771
493	0.02925454593
494	0.02916926243
495	0.02907274395
496	0.02902604322
497	0.0289161049
498	0.02886509309
499	0.02881517567
500	0.02871717977
501	0.02866566767
502	0.02855623159
503	0.02847122951
504	0.02836193022
505	0.02831545423
506	0.02824455402
507	0.02819821678
508	0.02810580222
509	0.02805286157
510	0.02799941086
511	0.02794835607
512	0.02787632434
513	0.02779841423
514	0.02773092418
515	0.02764853102
516	0.02754775032
517	0.02747764353
518	0.02740625475
519	0.02731179018
520	0.02725982275
521	0.02717994862
522	0.02708615827
523	0.02702898471
524	0.02697204371
525	0.02690330099
526	0.02683537319
527	0.02676558885
528	0.0267055191
529	0.02664194342
530	0.02656058992
531	0.02647367266
532	0.02640418342
533	0.02635061741
534	0.02627711218
535	0.02620406229
536	0.02615491875
537	0.02607943973
538	0.0260311541
539	0.02595496764
540	0.02588862278
541	0.02582952624
542	0.02575475271
543	0.02568028403
544	0.02557939975
545	0.02551198397
546	0.02548354962
547	0.02538516482
548	0.02533152651
549	0.02527372563
550	0.02519758803
551	0.02515006847
552	0.02513361563
553	0.02509367857
554	0.02505132019
555	0.02500401755
556	0.02495116484
557	0.024900112
558	0.02482551043
559	0.02474385207
560	0.02465139452
561	0.02458422301
562	0.02450057718
563	0.02443756823
564	0.02439448482
565	0.02432950207
566	0.02426721424
567	0.02421210633
568	0.02411501329
569	0.02404911792
570	0.02398245061
571	0.023915711
572	0.02384269042
573	0.02377829982
574	0.02371943583
575	0.02366308502
576	0.02360789502
577	0.02353567374
578	0.0234783712
579	0.02344679246
580	0.02335971301
581	0.02330939301
582	0.0232674841
583	0.02322449059
584	0.02314547633
585	0.02310566824
586	0.02306436906
587	0.02301900504
588	0.02295755363
589	0.02292072578
590	0.0228617973
591	0.02278722701
592	0.02271353612
593	0.02266601265
594	0.02261818432
595	0.02255190005
596	0.02248671797
597	0.02240435413
598	0.0223442531
599	0.0222843006
600	0.022271981
601	0.02223497531
602	0.02215906049
603	0.0221019182
604	0.02204158267
605	0.02198806552
606	0.02193680943
607	0.02187886981
608	0.02182811596
609	0.02177477665
610	0.02172402085
611	0.02168829715
612	0.02163672056
613	0.02159318768
614	0.02154841579
615	0.02152172855
616	0.02146428139
617	0.02140516727
618	0.02137595708
619	0.02133641868
620	0.02130066958
621	0.02127595417
622	0.02124651534
623	0.0211922028
624	0.02113798016
625	0.02110511944
626	0.02106653471
627	0.02097201934
628	0.02092303214
629	0.02089930362
630	0.0208563062
631	0.02080368996
632	0.02073679205
633	0.02069915709
634	0.02065795758
635	0.02062370738
636	0.02057569926
637	0.02052908256
638	0.02047659139
639	0.02044407657
640	0.02038495267
641	0.02034447232
642	0.02029433211
643	0.02023985738
644	0.02021728578
645	0.02017679566
646	0.02013805655
647	0.02009247756
648	0.02004875707
649	0.02000584759
650	0.01998710632
651	0.0199453479
652	0.01990904964
653	0.01986585093
654	0.01982605653
655	0.01979789187
656	0.01979477093
657	0.01975824989
658	0.01972578197
659	0.01969105689
660	0.01963867516
661	0.01959187867
662	0.01953512137
663	0.01948742984
664	0.01944148345
665	0.01937990892
666	0.01935944987
667	0.01931754878
668	0.01928908317
669	0.01927196784
670	0.01923816712
671	0.01921496626
672	0.01915964533
673	0.01911842823
674	0.01907559887
675	0.01904634765
676	0.01899680544
677	0.01897049732
678	0.01893207284
679	0.0188780085
680	0.01883552309
681	0.01879053429
682	0.01874411692
683	0.01869832492
684	0.01868126041
685	0.01866873366
686	0.0186352808
687	0.01860185529
688	0.018555862
689	0.0185132652
690	0.01846225144
691	0.0184053593
692	0.01836502161
693	0.01834547715
694	0.01830275137
695	0.01827310148
696	0.01824136445
697	0.01820062028
698	0.01817759334
699	0.01815584058
700	0.01814757019
701	0.01812532886
702	0.01809478979
703	0.01805580249
704	0.01803130009
705	0.01798948304
706	0.01794467598
707	0.01791814702
708	0.01786626753
709	0.01785103806
710	0.01782468694
711	0.01779167965
712	0.0177686488
713	0.01773353092
714	0.01768110033
715	0.01765414926
716	0.01762849386
717	0.01759673142
718	0.01758657518
719	0.01756180701
720	0.01754485584
721	0.01750276909
722	0.0174781768
723	0.01742704384
724	0.01738455843
725	0.01733697829
726	0.01731615379
727	0.01728896039
728	0.01726849353
729	0.01724274432
730	0.01719634455
731	0.01716951464
732	0.0171320712
733	0.01711263422
734	0.01708260911
735	0.01705575966
736	0.017032764
737	0.01700951819
738	0.0169822857
739	0.01696447857
740	0.01693264187
741	0.01690297049
742	0.01687168684
743	0.01683773174
744	0.01678437092
745	0.01675551641
746	0.0167512796
747	0.01671400422
748	0.01667665263
749	0.01666917957
750	0.01662570531
751	0.01661862311
752	0.01657552211
753	0.01655186591
754	0.01651363295
755	0.01648499731
756	0.01646094635
757	0.0164444642
758	0.01640995409
759	0.01635923737
760	0.01632428072
761	0.016297528
762	0.01626553106
763	0.01623622511
764	0.01622315411
765	0.01619000708
766	0.01615724994
767	0.01612912436
768	0.01611448409
769	0.01609918133
770	0.01606805598
771	0.01602876675
772	0.01599509013
773	0.01597166941
774	0.01596799444
775	0.01593204991
776	0.01589711768
777	0.01587445521
778	0.01586906343
779	0.0158289241
780	0.01579024362
781	0.01576858173
782	0.01573167473
783	0.01572727082
784	0.01571714683
785	0.01567006111
786	0.01564046203
787	0.01561220357
788	0.01557277949
789	0.01556733397
790	0.01554334359
791	0.01551337711
792	0.01550498263
793	0.01547437222
794	0.01545781581
795	0.01542308096
796	0.0154092859
797	0.0153832631
798	0.01538040403
799	0.01534616459
800	0.01530131844
801	0.01529527492
802	0.01526054887
803	0.01521324916
804	0.01518258013
805	0.01517381043
806	0.01514454552
807	0.01513699821
808	0.0151047902
809	0.01507920613
810	0.01505641077
811	0.01503754542
812	0.01499304615
813	0.01496845386
814	0.01494046704
815	0.01491049665
816	0.01490280276
817	0.0148900161
818	0.01486944566
819	0.01481010875
820	0.01478944255
821	0.01475773678
822	0.01473067823
823	0.01470169278
824	0.01466418387
825	0.01461808408
826	0.01458634998
827	0.01456013078
828	0.01455237338
829	0.01453566942
830	0.01451286332
831	0.01450745004
832	0.01450276961
833	0.01446698533
834	0.01444684971
835	0.01441790041
836	0.01440028284
837	0.01436381848
838	0.01434773109
839	0.01431857953
840	0.01428553413
841	0.01424057073
842	0.01421416197
843	0.01419648577
844	0.01419428821
845	0.01417502712
846	0.01415351766
847	0.01412180017
